ANNEE,CODE_CC,DESC_CC,FAMILLE,SOUS_FAMILLE,MONTANT
2020,2020,Engineering & Infrastructure Department,"Achats, matières et consommables",Pièces détachées,-73028212.0
2020,2020,Engineering & Infrastructure Department,"Achats, matières et consommables",Carburants et lubrifiants,-75843457.0
2020,2020,Engineering & Infrastructure Department,"Maintenance, infrastructures et équipements",Entretien des infrastructures portuaires,-117924761.0
2020,2020,Engineering & Infrastructure Department,"Maintenance, infrastructures et équipements",Entretien du matériel naval,-121874120.0
2020,2020,Engineering & Infrastructure Department,"Maintenance, infrastructures et équipements",Entretien des bâtiments,-117256199.0
2020,2020,Engineering & Infrastructure Department,"Énergie, eau et fluides",Électricité,-74576404.0
2020,2020,Engineering & Infrastructure Department,"Énergie, eau et fluides",Eau,-67890117.0
2020,2020,Engineering & Infrastructure Department,"Énergie, eau et fluides",Autres énergies,-69738167.0
2020,2020,Engineering & Infrastructure Department,Prestations externes et frais,Sous-traitance générale,-70362288.0
2020,2020,Engineering & Infrastructure Department,Prestations externes et frais,Honoraires et conseils,-68234889.0
2020,2020,Engineering & Infrastructure Department,Prestations externes et frais,Assurances,-69787827.0
2020,2020,Engineering & Infrastructure Department,"Transport, déplacements et logistique",Transport du personnel,-41070099.0
2020,2020,Engineering & Infrastructure Department,"Transport, déplacements et logistique",Missions et déplacements,-42147859.0
2020,2020,Engineering & Infrastructure Department,Charges financières et amortissements,Amortissements des immobilisations,-55407898.0
2020,2020,Engineering & Infrastructure Department,Charges financières et amortissements,Intérêts sur emprunts,-53346035.0
2020,2020,Engineering & Infrastructure Department,"Impôts, risques et autres charges",Impôts et taxes directs,-32032052.0
2020,2020,Engineering & Infrastructure Department,"Impôts, risques et autres charges",Pénalités et amendes,-31298173.0
2020,2030,Commercial & Estate Department,Charges de personnel et social,Salaires du personnel permanent,-294566265.0
2020,2030,Commercial & Estate Department,Charges de personnel et social,Charges sociales,-323114585.0
2020,2030,Commercial & Estate Department,Charges de personnel et social,Primes et indemnités,-310810748.0
2020,2030,Commercial & Estate Department,"Achats, matières et consommables",Consommables de bureau,-73607680.0
2020,2030,Commercial & Estate Department,"Achats, matières et consommables",Pièces détachées,-69162057.0
2020,2030,Commercial & Estate Department,"Achats, matières et consommables",Carburants et lubrifiants,-74825637.0
2020,2030,Commercial & Estate Department,"Maintenance, infrastructures et équipements",Entretien des infrastructures portuaires,-110533656.0
2020,2030,Commercial & Estate Department,"Maintenance, infrastructures et équipements",Entretien du matériel naval,-114042356.0
2020,2030,Commercial & Estate Department,"Maintenance, infrastructures et équipements",Entretien des bâtiments,-123949859.0
2020,2030,Commercial & Estate Department,"Énergie, eau et fluides",Électricité,-73920998.0
2020,2030,Commercial & Estate Department,"Énergie, eau et fluides",Eau,-73078040.0
2020,2030,Commercial & Estate Department,"Énergie, eau et fluides",Autres énergies,-74373835.0
2020,2030,Commercial & Estate Department,Prestations externes et frais,Sous-traitance générale,-75979947.0
2020,2030,Commercial & Estate Department,Prestations externes et frais,Honoraires et conseils,-75301399.0
2020,2030,Commercial & Estate Department,Prestations externes et frais,Assurances,-69749838.0
2020,2030,Commercial & Estate Department,"Transport, déplacements et logistique",Transport du personnel,-40650490.0
2020,2030,Commercial & Estate Department,"Transport, déplacements et logistique",Missions et déplacements,-42376109.0
2020,2030,Commercial & Estate Department,Charges financières et amortissements,Amortissements des immobilisations,-52606927.0
2020,2030,Commercial & Estate Department,Charges financières et amortissements,Intérêts sur emprunts,-52174857.0
2020,2030,Commercial & Estate Department,"Impôts, risques et autres charges",Impôts et taxes directs,-34647990.0
2020,2030,Commercial & Estate Department,"Impôts, risques et autres charges",Pénalités et amendes,-34344059.0
2020,2040,Corporate Services Department,Charges de personnel et social,Salaires du personnel permanent,-296599718.0
2020,2040,Corporate Services Department,Charges de personnel et social,Charges sociales,-311126350.0
2020,2040,Corporate Services Department,Charges de personnel et social,Primes et indemnités,-300050788.0
2020,2040,Corporate Services Department,"Achats, matières et consommables",Consommables de bureau,-76707658.0
2020,2040,Corporate Services Department,"Achats, matières et consommables",Pièces détachées,-72082346.0
2020,2040,Corporate Services Department,"Achats, matières et consommables",Carburants et lubrifiants,-70113534.0
2020,2040,Corporate Services Department,"Maintenance, infrastructures et équipements",Entretien des infrastructures portuaires,-111885231.0
2020,2040,Corporate Services Department,"Maintenance, infrastructures et équipements",Entretien du matériel naval,-116996618.0
2020,2040,Corporate Services Department,"Maintenance, infrastructures et équipements",Entretien des bâtiments,-112146924.0
2020,2040,Corporate Services Department,"Énergie, eau et fluides",Électricité,-73358548.0
2020,2040,Corporate Services Department,"Énergie, eau et fluides",Eau,-76537902.0
2020,2040,Corporate Services Department,"Énergie, eau et fluides",Autres énergies,-71478915.0
2020,2040,Corporate Services Department,Prestations externes et frais,Sous-traitance générale,-69651106.0
2020,2040,Corporate Services Department,Prestations externes et frais,Honoraires et conseils,-77550007.0
2020,2040,Corporate Services Department,Prestations externes et frais,Assurances,-72596692.0
2020,2040,Corporate Services Department,"Transport, déplacements et logistique",Transport du personnel,-41008638.0
2020,2040,Corporate Services Department,"Transport, déplacements et logistique",Missions et déplacements,-40741939.0
2020,2040,Corporate Services Department,Charges financières et amortissements,Amortissements des immobilisations,-51403454.0
2020,2040,Corporate Services Department,Charges financières et amortissements,Intérêts sur emprunts,-55345183.0
2020,2040,Corporate Services Department,"Impôts, risques et autres charges",Impôts et taxes directs,-33959072.0
2020,2040,Corporate Services Department,"Impôts, risques et autres charges",Pénalités et amendes,-32269466.0
2020,2050,Safety & Security Department,Charges de personnel et social,Salaires du personnel permanent,-285893186.0
2020,2050,Safety & Security Department,Charges de personnel et social,Charges sociales,-299453430.0
2020,2050,Safety & Security Department,Charges de personnel et social,Primes et indemnités,-325649654.0
2020,2050,Safety & Security Department,"Achats, matières et consommables",Consommables de bureau,-72795511.0
2020,2050,Safety & Security Department,"Achats, matières et consommables",Pièces détachées,-77281446.0
2020,2050,Safety & Security Department,"Achats, matières et consommables",Carburants et lubrifiants,-76161914.0
2020,2050,Safety & Security Department,"Maintenance, infrastructures et équipements",Entretien des infrastructures portuaires,-108066452.0
2020,2050,Safety & Security Department,"Maintenance, infrastructures et équipements",Entretien du matériel naval,-119584522.0
2020,2050,Safety & Security Department,"Maintenance, infrastructures et équipements",Entretien des bâtiments,-118950976.0
2020,2050,Safety & Security Department,"Énergie, eau et fluides",Électricité,-72875249.0
2020,2050,Safety & Security Department,"Énergie, eau et fluides",Eau,-70133276.0
2020,2050,Safety & Security Department,"Énergie, eau et fluides",Autres énergies,-73930762.0
2020,2050,Safety & Security Department,Prestations externes et frais,Sous-traitance générale,-68557255.0
2020,2050,Safety & Security Department,Prestations externes et frais,Honoraires et conseils,-71837867.0
2020,2050,Safety & Security Department,Prestations externes et frais,Assurances,-72030296.0
2020,2050,Safety & Security Department,"Transport, déplacements et logistique",Transport du personnel,-46263739.0
2020,2050,Safety & Security Department,"Transport, déplacements et logistique",Missions et déplacements,-45788944.0
2020,2050,Safety & Security Department,Charges financières et amortissements,Amortissements des immobilisations,-52573799.0
2020,2050,Safety & Security Department,Charges financières et amortissements,Intérêts sur emprunts,-54379462.0
2020,2050,Safety & Security Department,"Impôts, risques et autres charges",Impôts et taxes directs,-31157242.0
2020,2050,Safety & Security Department,"Impôts, risques et autres charges",Pénalités et amendes,-34509678.0
2020,2060,Finance Department,Charges de personnel et social,Salaires du personnel permanent,-320295207.0
2020,2060,Finance Department,Charges de personnel et social,Charges sociales,-295907701.0
2020,2060,Finance Department,Charges de personnel et social,Primes et indemnités,-310423417.0
2020,2060,Finance Department,"Achats, matières et consommables",Consommables de bureau,-73606048.0
2020,2060,Finance Department,"Achats, matières et consommables",Pièces détachées,-68976319.0
2020,2060,Finance Department,"Achats, matières et consommables",Carburants et lubrifiants,-75164485.0
2020,2060,Finance Department,"Maintenance, infrastructures et équipements",Entretien des infrastructures portuaires,-116639515.0
2020,2060,Finance Department,"Maintenance, infrastructures et équipements",Entretien du matériel naval,-120524894.0
2020,2060,Finance Department,"Maintenance, infrastructures et équipements",Entretien des bâtiments,-116492944.0
2020,2060,Finance Department,"Énergie, eau et fluides",Électricité,-67430805.0
2020,2060,Finance Department,"Énergie, eau et fluides",Eau,-70715184.0
2020,2060,Finance Department,"Énergie, eau et fluides",Autres énergies,-67622689.0
2020,2060,Finance Department,Prestations externes et frais,Sous-traitance générale,-76855351.0
2020,2060,Finance Department,Prestations externes et frais,Honoraires et conseils,-76344027.0
2020,2060,Finance Department,Prestations externes et frais,Assurances,-75866405.0
2020,2060,Finance Department,"Transport, déplacements et logistique",Transport du personnel,-42327761.0
2020,2060,Finance Department,"Transport, déplacements et logistique",Missions et déplacements,-40807764.0
2020,2060,Finance Department,Charges financières et amortissements,Amortissements des immobilisations,-57252598.0
2020,2060,Finance Department,Charges financières et amortissements,Intérêts sur emprunts,-57777403.0
2020,2060,Finance Department,"Impôts, risques et autres charges",Impôts et taxes directs,-30732472.0
2020,2060,Finance Department,"Impôts, risques et autres charges",Pénalités et amendes,-32561011.0
2021,2010,Port Operations Department,Charges de personnel et social,Salaires du personnel permanent,-319782979.0
2021,2010,Port Operations Department,Charges de personnel et social,Charges sociales,-328270938.0
2021,2010,Port Operations Department,Charges de personnel et social,Primes et indemnités,-304727184.0
2021,2010,Port Operations Department,"Achats, matières et consommables",Consommables de bureau,-73726206.0
2021,2010,Port Operations Department,"Achats, matières et consommables",Pièces détachées,-80971356.0
2021,2010,Port Operations Department,"Achats, matières et consommables",Carburants et lubrifiants,-77311096.0
2021,2010,Port Operations Department,"Maintenance, infrastructures et équipements",Entretien des infrastructures portuaires,-120105623.0
2021,2010,Port Operations Department,"Maintenance, infrastructures et équipements",Entretien du matériel naval,-121453673.0
2021,2010,Port Operations Department,"Maintenance, infrastructures et équipements",Entretien des bâtiments,-114727113.0
2021,2010,Port Operations Department,"Énergie, eau et fluides",Électricité,-72803708.0
2021,2010,Port Operations Department,"Énergie, eau et fluides",Eau,-74005749.0
2021,2010,Port Operations Department,"Énergie, eau et fluides",Autres énergies,-76658393.0
2021,2010,Port Operations Department,Prestations externes et frais,Sous-traitance générale,-72861139.0
2021,2010,Port Operations Department,Prestations externes et frais,Honoraires et conseils,-72756216.0
2021,2010,Port Operations Department,Prestations externes et frais,Assurances,-71174272.0
2021,2010,Port Operations Department,"Transport, déplacements et logistique",Transport du personnel,-46267236.0
2021,2010,Port Operations Department,"Transport, déplacements et logistique",Missions et déplacements,-43709222.0
2021,2010,Port Operations Department,Charges financières et amortissements,Amortissements des immobilisations,-60015094.0
2021,2010,Port Operations Department,Charges financières et amortissements,Intérêts sur emprunts,-59651068.0
2021,2010,Port Operations Department,"Impôts, risques et autres charges",Impôts et taxes directs,-32027775.0
2021,2010,Port Operations Department,"Impôts, risques et autres charges",Pénalités et amendes,-32825151.0
2021,2020,Engineering & Infrastructure Department,Charges de personnel et social,Salaires du personnel permanent,-325557013.0
2021,2020,Engineering & Infrastructure Department,Charges de personnel et social,Charges sociales,-305309822.0
2021,2020,Engineering & Infrastructure Department,Charges de personnel et social,Primes et indemnités,-301662141.0
2021,2020,Engineering & Infrastructure Department,"Achats, matières et consommables",Consommables de bureau,-80339157.0
2021,2020,Engineering & Infrastructure Department,"Achats, matières et consommables",Pièces détachées,-76475358.0
2021,2020,Engineering & Infrastructure Department,"Achats, matières et consommables",Carburants et lubrifiants,-75432505.0
2021,2020,Engineering & Infrastructure Department,"Maintenance, infrastructures et équipements",Entretien des infrastructures portuaires,-125983207.0
2021,2020,Engineering & Infrastructure Department,"Maintenance, infrastructures et équipements",Entretien du matériel naval,-126371251.0
2021,2020,Engineering & Infrastructure Department,"Maintenance, infrastructures et équipements",Entretien des bâtiments,-115904357.0
2021,2020,Engineering & Infrastructure Department,"Énergie, eau et fluides",Électricité,-71449241.0
2021,2020,Engineering & Infrastructure Department,"Énergie, eau et fluides",Eau,-74991288.0
2021,2020,Engineering & Infrastructure Department,"Énergie, eau et fluides",Autres énergies,-74912071.0
2021,2020,Engineering & Infrastructure Department,Prestations externes et frais,Sous-traitance générale,-75372647.0
2021,2020,Engineering & Infrastructure Department,Prestations externes et frais,Honoraires et conseils,-78150681.0
2021,2020,Engineering & Infrastructure Department,Prestations externes et frais,Assurances,-77560079.0
2021,2020,Engineering & Infrastructure Department,"Transport, déplacements et logistique",Transport du personnel,-48512947.0
2021,2020,Engineering & Infrastructure Department,"Transport, déplacements et logistique",Missions et déplacements,-42879003.0
2021,2020,Engineering & Infrastructure Department,Charges financières et amortissements,Amortissements des immobilisations,-56017425.0
2021,2020,Engineering & Infrastructure Department,Charges financières et amortissements,Intérêts sur emprunts,-55513988.0
2021,2020,Engineering & Infrastructure Department,"Impôts, risques et autres charges",Impôts et taxes directs,-35800359.0
2021,2020,Engineering & Infrastructure Department,"Impôts, risques et autres charges",Pénalités et amendes,-32875965.0
2021,2030,Commercial & Estate Department,Charges de personnel et social,Salaires du personnel permanent,-304239988.0
2021,2030,Commercial & Estate Department,Charges de personnel et social,Charges sociales,-315745369.0
2021,2030,Commercial & Estate Department,Charges de personnel et social,Primes et indemnités,-314555139.0
2021,2030,Commercial & Estate Department,"Achats, matières et consommables",Consommables de bureau,-73374555.0
2021,2030,Commercial & Estate Department,"Achats, matières et consommables",Pièces détachées,-73069893.0
2021,2030,Commercial & Estate Department,"Achats, matières et consommables",Carburants et lubrifiants,-80209308.0
2021,2030,Commercial & Estate Department,"Maintenance, infrastructures et équipements",Entretien des infrastructures portuaires,-120190952.0
2021,2030,Commercial & Estate Department,"Maintenance, infrastructures et équipements",Entretien du matériel naval,-127284679.0
2021,2030,Commercial & Estate Department,"Maintenance, infrastructures et équipements",Entretien des bâtiments,-122009162.0
2021,2030,Commercial & Estate Department,"Énergie, eau et fluides",Électricité,-70957959.0
2021,2030,Commercial & Estate Department,"Énergie, eau et fluides",Eau,-81015171.0
2021,2030,Commercial & Estate Department,"Énergie, eau et fluides",Autres énergies,-79284488.0
2021,2030,Commercial & Estate Department,Prestations externes et frais,Sous-traitance générale,-80694104.0
2021,2030,Commercial & Estate Department,Prestations externes et frais,Honoraires et conseils,-80242186.0
2021,2030,Commercial & Estate Department,Prestations externes et frais,Assurances,-79418784.0
2021,2030,Commercial & Estate Department,"Transport, déplacements et logistique",Transport du personnel,-43310850.0
2021,2030,Commercial & Estate Department,"Transport, déplacements et logistique",Missions et déplacements,-45342001.0
2021,2030,Commercial & Estate Department,Charges financières et amortissements,Amortissements des immobilisations,-54515719.0
2021,2030,Commercial & Estate Department,Charges financières et amortissements,Intérêts sur emprunts,-56004855.0
2021,2030,Commercial & Estate Department,"Impôts, risques et autres charges",Impôts et taxes directs,-31969470.0
2021,2030,Commercial & Estate Department,"Impôts, risques et autres charges",Pénalités et amendes,-33497641.0
2021,2040,Corporate Services Department,Charges de personnel et social,Salaires du personnel permanent,-339641548.0
2021,2040,Corporate Services Department,Charges de personnel et social,Charges sociales,-307579078.0
2021,2040,Corporate Services Department,Charges de personnel et social,Primes et indemnités,-330681482.0
2021,2040,Corporate Services Department,"Achats, matières et consommables",Consommables de bureau,-75245261.0
2021,2040,Corporate Services Department,"Achats, matières et consommables",Pièces détachées,-74906016.0
2021,2040,Corporate Services Department,"Achats, matières et consommables",Carburants et lubrifiants,-80570297.0
2021,2040,Corporate Services Department,"Maintenance, infrastructures et équipements",Entretien des infrastructures portuaires,-129558805.0
2021,2040,Corporate Services Department,"Maintenance, infrastructures et équipements",Entretien du matériel naval,-122101485.0
2021,2040,Corporate Services Department,"Maintenance, infrastructures et équipements",Entretien des bâtiments,-124860148.0
2021,2040,Corporate Services Department,"Énergie, eau et fluides",Électricité,-72062685.0
2021,2040,Corporate Services Department,"Énergie, eau et fluides",Eau,-73567099.0
2021,2040,Corporate Services Department,"Énergie, eau et fluides",Autres énergies,-80691062.0
2021,2040,Corporate Services Department,Prestations externes et frais,Sous-traitance générale,-76561621.0
2021,2040,Corporate Services Department,Prestations externes et frais,Honoraires et conseils,-76169538.0
2021,2040,Corporate Services Department,Prestations externes et frais,Assurances,-78351039.0
2021,2040,Corporate Services Department,"Transport, déplacements et logistique",Transport du personnel,-42616609.0
2021,2040,Corporate Services Department,"Transport, déplacements et logistique",Missions et déplacements,-45968759.0
2021,2040,Corporate Services Department,Charges financières et amortissements,Amortissements des immobilisations,-56814330.0
2021,2040,Corporate Services Department,Charges financières et amortissements,Intérêts sur emprunts,-59596084.0
2021,2040,Corporate Services Department,"Impôts, risques et autres charges",Impôts et taxes directs,-32440783.0
2021,2040,Corporate Services Department,"Impôts, risques et autres charges",Pénalités et amendes,-36273146.0
2021,2050,Safety & Security Department,Charges de personnel et social,Salaires du personnel permanent,-299337936.0
2021,2050,Safety & Security Department,Charges de personnel et social,Charges sociales,-304044794.0
2021,2050,Safety & Security Department,Charges de personnel et social,Primes et indemnités,-322264740.0
2021,2050,Safety & Security Department,"Achats, matières et consommables",Consommables de bureau,-77579670.0
2021,2050,Safety & Security Department,"Achats, matières et consommables",Pièces détachées,-72915089.0
2021,2050,Safety & Security Department,"Achats, matières et consommables",Carburants et lubrifiants,-71692598.0
2021,2050,Safety & Security Department,"Maintenance, infrastructures et équipements",Entretien des infrastructures portuaires,-127775522.0
2021,2050,Safety & Security Department,"Maintenance, infrastructures et équipements",Entretien du matériel naval,-116850917.0
2021,2050,Safety & Security Department,"Maintenance, infrastructures et équipements",Entretien des bâtiments,-122758768.0
2021,2050,Safety & Security Department,"Énergie, eau et fluides",Électricité,-76987799.0
2021,2050,Safety & Security Department,"Énergie, eau et fluides",Eau,-74865917.0
2021,2050,Safety & Security Department,"Énergie, eau et fluides",Autres énergies,-76609241.0
2021,2050,Safety & Security Department,Prestations externes et frais,Sous-traitance générale,-75963744.0
2021,2050,Safety & Security Department,Prestations externes et frais,Honoraires et conseils,-80330592.0
2021,2050,Safety & Security Department,Prestations externes et frais,Assurances,-72587041.0
2021,2050,Safety & Security Department,"Transport, déplacements et logistique",Transport du personnel,-46808457.0
2021,2050,Safety & Security Department,"Transport, déplacements et logistique",Missions et déplacements,-43771202.0
2021,2050,Safety & Security Department,Charges financières et amortissements,Amortissements des immobilisations,-55963077.0
2021,2050,Safety & Security Department,Charges financières et amortissements,Intérêts sur emprunts,-58156747.0
2021,2050,Safety & Security Department,"Impôts, risques et autres charges",Impôts et taxes directs,-33120886.0
2021,2050,Safety & Security Department,"Impôts, risques et autres charges",Pénalités et amendes,-33198073.0
2021,2060,Finance Department,Charges de personnel et social,Salaires du personnel permanent,-329247516.0
2021,2060,Finance Department,Charges de personnel et social,Charges sociales,-299000958.0
2021,2060,Finance Department,Charges de personnel et social,Primes et indemnités,-316176010.0
2021,2060,Finance Department,"Achats, matières et consommables",Consommables de bureau,-81006393.0
2021,2060,Finance Department,"Achats, matières et consommables",Pièces détachées,-80981396.0
2021,2060,Finance Department,"Achats, matières et consommables",Carburants et lubrifiants,-71198312.0
2021,2060,Finance Department,"Maintenance, infrastructures et équipements",Entretien des infrastructures portuaires,-116290143.0
2021,2060,Finance Department,"Maintenance, infrastructures et équipements",Entretien du matériel naval,-117172937.0
2021,2060,Finance Department,"Maintenance, infrastructures et équipements",Entretien des bâtiments,-128504405.0
2021,2060,Finance Department,"Énergie, eau et fluides",Électricité,-79759806.0
2021,2060,Finance Department,"Énergie, eau et fluides",Eau,-79742908.0
2021,2060,Finance Department,"Énergie, eau et fluides",Autres énergies,-74339064.0
2021,2060,Finance Department,Prestations externes et frais,Sous-traitance générale,-72093958.0
2021,2060,Finance Department,Prestations externes et frais,Honoraires et conseils,-79260290.0
2021,2060,Finance Department,Prestations externes et frais,Assurances,-77879972.0
2021,2060,Finance Department,"Transport, déplacements et logistique",Transport du personnel,-46143678.0
2021,2060,Finance Department,"Transport, déplacements et logistique",Missions et déplacements,-48532460.0
2021,2060,Finance Department,Charges financières et amortissements,Amortissements des immobilisations,-58015907.0
2021,2060,Finance Department,Charges financières et amortissements,Intérêts sur emprunts,-52878450.0
2021,2060,Finance Department,"Impôts, risques et autres charges",Impôts et taxes directs,-35587745.0
2021,2060,Finance Department,"Impôts, risques et autres charges",Pénalités et amendes,-33117936.0
2022,2010,Port Operations Department,Charges de personnel et social,Salaires du personnel permanent,-344691738.0
2022,2010,Port Operations Department,Charges de personnel et social,Charges sociales,-327154037.0
2022,2010,Port Operations Department,Charges de personnel et social,Primes et indemnités,-337790125.0
2022,2010,Port Operations Department,"Achats, matières et consommables",Consommables de bureau,-85126850.0
2022,2010,Port Operations Department,"Achats, matières et consommables",Pièces détachées,-84458836.0
2022,2010,Port Operations Department,"Achats, matières et consommables",Carburants et lubrifiants,-75957588.0
2022,2010,Port Operations Department,"Maintenance, infrastructures et équipements",Entretien des infrastructures portuaires,-127509856.0
2022,2010,Port Operations Department,"Maintenance, infrastructures et équipements",Entretien du matériel naval,-124859208.0
2022,2010,Port Operations Department,"Maintenance, infrastructures et équipements",Entretien des bâtiments,-119930647.0
2022,2010,Port Operations Department,"Énergie, eau et fluides",Électricité,-83613178.0
2022,2010,Port Operations Department,"Énergie, eau et fluides",Eau,-82101890.0
2022,2010,Port Operations Department,"Énergie, eau et fluides",Autres énergies,-77870940.0
2022,2010,Port Operations Department,Prestations externes et frais,Sous-traitance générale,-83276104.0
2022,2010,Port Operations Department,Prestations externes et frais,Honoraires et conseils,-81138396.0
2022,2010,Port Operations Department,Prestations externes et frais,Assurances,-79740025.0
2022,2010,Port Operations Department,"Transport, déplacements et logistique",Transport du personnel,-45015432.0
2022,2010,Port Operations Department,"Transport, déplacements et logistique",Missions et déplacements,-45459150.0
2022,2010,Port Operations Department,Charges financières et amortissements,Amortissements des immobilisations,-63657108.0
2022,2010,Port Operations Department,Charges financières et amortissements,Intérêts sur emprunts,-63833229.0
2022,2010,Port Operations Department,"Impôts, risques et autres charges",Impôts et taxes directs,-36481371.0
2022,2010,Port Operations Department,"Impôts, risques et autres charges",Pénalités et amendes,-37948070.0
2022,2020,Engineering & Infrastructure Department,Charges de personnel et social,Salaires du personnel permanent,-342241536.0
2022,2020,Engineering & Infrastructure Department,Charges de personnel et social,Charges sociales,-321664709.0
2022,2020,Engineering & Infrastructure Department,Charges de personnel et social,Primes et indemnités,-320686669.0
2022,2020,Engineering & Infrastructure Department,"Achats, matières et consommables",Consommables de bureau,-78393136.0
2022,2020,Engineering & Infrastructure Department,"Achats, matières et consommables",Pièces détachées,-85055180.0
2022,2020,Engineering & Infrastructure Department,"Achats, matières et consommables",Carburants et lubrifiants,-83895157.0
2022,2020,Engineering & Infrastructure Department,"Maintenance, infrastructures et équipements",Entretien des infrastructures portuaires,-135397567.0
2022,2020,Engineering & Infrastructure Department,"Maintenance, infrastructures et équipements",Entretien du matériel naval,-136087262.0
2022,2020,Engineering & Infrastructure Department,"Maintenance, infrastructures et équipements",Entretien des bâtiments,-123657381.0
2022,2020,Engineering & Infrastructure Department,"Énergie, eau et fluides",Électricité,-77730808.0
2022,2020,Engineering & Infrastructure Department,"Énergie, eau et fluides",Eau,-76075950.0
2022,2020,Engineering & Infrastructure Department,"Énergie, eau et fluides",Autres énergies,-83714644.0
2022,2020,Engineering & Infrastructure Department,Prestations externes et frais,Sous-traitance générale,-84887741.0
2022,2020,Engineering & Infrastructure Department,Prestations externes et frais,Honoraires et conseils,-79499701.0
2022,2020,Engineering & Infrastructure Department,Prestations externes et frais,Assurances,-81916349.0
2022,2020,Engineering & Infrastructure Department,"Transport, déplacements et logistique",Transport du personnel,-45995811.0
2022,2020,Engineering & Infrastructure Department,"Transport, déplacements et logistique",Missions et déplacements,-51242195.0
2022,2020,Engineering & Infrastructure Department,Charges financières et amortissements,Amortissements des immobilisations,-63500623.0
2022,2020,Engineering & Infrastructure Department,Charges financières et amortissements,Intérêts sur emprunts,-64444576.0
2022,2020,Engineering & Infrastructure Department,"Impôts, risques et autres charges",Impôts et taxes directs,-37827166.0
2022,2020,Engineering & Infrastructure Department,"Impôts, risques et autres charges",Pénalités et amendes,-38185687.0
2022,2030,Commercial & Estate Department,Charges de personnel et social,Salaires du personnel permanent,-315824047.0
2022,2030,Commercial & Estate Department,Charges de personnel et social,Charges sociales,-349538604.0
2022,2030,Commercial & Estate Department,Charges de personnel et social,Primes et indemnités,-330384518.0
2022,2030,Commercial & Estate Department,"Achats, matières et consommables",Consommables de bureau,-85414201.0
2022,2030,Commercial & Estate Department,"Achats, matières et consommables",Pièces détachées,-83964096.0
2022,2030,Commercial & Estate Department,"Achats, matières et consommables",Carburants et lubrifiants,-84661389.0
2022,2030,Commercial & Estate Department,"Maintenance, infrastructures et équipements",Entretien des infrastructures portuaires,-134496188.0
2022,2030,Commercial & Estate Department,"Maintenance, infrastructures et équipements",Entretien du matériel naval,-124681027.0
2022,2030,Commercial & Estate Department,"Maintenance, infrastructures et équipements",Entretien des bâtiments,-134074402.0
2022,2030,Commercial & Estate Department,"Énergie, eau et fluides",Électricité,-76135745.0
2022,2030,Commercial & Estate Department,"Énergie, eau et fluides",Eau,-84752770.0
2022,2030,Commercial & Estate Department,"Énergie, eau et fluides",Autres énergies,-84599691.0
2022,2030,Commercial & Estate Department,Prestations externes et frais,Sous-traitance générale,-77425225.0
2022,2030,Commercial & Estate Department,Prestations externes et frais,Honoraires et conseils,-84125949.0
2022,2030,Commercial & Estate Department,Prestations externes et frais,Assurances,-80107864.0
2022,2030,Commercial & Estate Department,"Transport, déplacements et logistique",Transport du personnel,-47015125.0
2022,2030,Commercial & Estate Department,"Transport, déplacements et logistique",Missions et déplacements,-50331838.0
